epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,17730.3,1.25745,0.87806,1.36504,0.81912,0.72818,0.76228,0.46685,1.33806,0.67603,1.58747,0.004357,0.004357,0.004357
59,18035.2,1.25211,0.86203,1.36259,0.82719,0.72358,0.76242,0.46968,1.32944,0.67561,1.58043,0.004258,0.004258,0.004258
60,18340.2,1.24309,0.85621,1.35365,0.8242,0.72523,0.75945,0.46691,1.32684,0.67324,1.58057,0.004159,0.004159,0.004159
61,18645.3,1.23848,0.84791,1.34776,0.82115,0.73108,0.7619,0.46769,1.32952,0.66701,1.57832,0.00406,0.00406,0.00406
62,18950.1,1.22188,0.83969,1.3404,0.82289,0.72699,0.76248,0.47089,1.32567,0.66884,1.57305,0.003961,0.003961,0.003961
63,19255,1.22965,0.84043,1.34135,0.8255,0.72279,0.76001,0.4707,1.32345,0.66907,1.57066,0.003862,0.003862,0.003862
64,19559.9,1.20796,0.82249,1.33099,0.81429,0.73105,0.76302,0.47213,1.31989,0.66926,1.56873,0.003763,0.003763,0.003763
65,19865,1.20411,0.81476,1.32265,0.82424,0.72226,0.76039,0.47345,1.31306,0.67165,1.56372,0.003664,0.003664,0.003664
66,20170.2,1.20224,0.81504,1.32232,0.82302,0.72401,0.76088,0.47253,1.31418,0.67015,1.56547,0.003565,0.003565,0.003565
67,20475.3,1.1881,0.8051,1.31684,0.85039,0.71825,0.76175,0.47571,1.31074,0.66433,1.56368,0.003466,0.003466,0.003466
68,20780.3,1.18063,0.79566,1.31065,0.84964,0.72083,0.76271,0.47633,1.31386,0.66077,1.56931,0.003367,0.003367,0.003367
69,21085.4,1.17982,0.78588,1.31029,0.83808,0.72407,0.76424,0.47806,1.31142,0.65968,1.56843,0.003268,0.003268,0.003268
70,21390.4,1.16816,0.77824,1.29528,0.8269,0.72581,0.76264,0.47828,1.30802,0.65823,1.56553,0.003169,0.003169,0.003169
71,21695.4,1.16093,0.77566,1.29692,0.82318,0.73072,0.76444,0.47592,1.31079,0.65681,1.57125,0.00307,0.00307,0.00307
72,22000.2,1.15709,0.77177,1.2935,0.8295,0.72796,0.76458,0.47821,1.30903,0.65508,1.57128,0.002971,0.002971,0.002971
73,22305.4,1.14545,0.75691,1.28351,0.82442,0.72704,0.76344,0.48005,1.30509,0.64989,1.57098,0.002872,0.002872,0.002872
74,22610.4,1.14456,0.75665,1.28257,0.82417,0.72934,0.76344,0.48162,1.30338,0.64805,1.57165,0.002773,0.002773,0.002773
75,22915.4,1.12929,0.74136,1.27238,0.83422,0.7282,0.76365,0.48227,1.30137,0.6458,1.57163,0.002674,0.002674,0.002674
76,23220.5,1.13249,0.74425,1.27087,0.83401,0.72476,0.76441,0.48333,1.29735,0.6465,1.56716,0.002575,0.002575,0.002575
77,23525.4,1.11223,0.72753,1.25933,0.83722,0.72575,0.76531,0.48457,1.29261,0.64424,1.56303,0.002476,0.002476,0.002476
78,23830.4,1.11202,0.72558,1.26139,0.82254,0.73216,0.76721,0.48574,1.29153,0.64317,1.56311,0.002377,0.002377,0.002377
79,24135.6,1.09758,0.71405,1.25174,0.81367,0.73239,0.76689,0.48717,1.29075,0.6433,1.56341,0.002278,0.002278,0.002278
80,24440.5,1.09319,0.7131,1.24768,0.84529,0.71784,0.76586,0.48664,1.29218,0.64237,1.56608,0.002179,0.002179,0.002179
81,24745.1,1.08682,0.70645,1.24679,0.84889,0.71888,0.76645,0.48669,1.28926,0.64083,1.56483,0.00208,0.00208,0.00208
82,25049.9,1.08094,0.69832,1.24163,0.83015,0.7284,0.7673,0.48803,1.28783,0.64245,1.56426,0.001981,0.001981,0.001981
83,25355,1.06419,0.68656,1.23047,0.8148,0.73404,0.76738,0.48816,1.28558,0.64241,1.56409,0.001882,0.001882,0.001882
84,25660.2,1.07146,0.68788,1.23859,0.82565,0.72769,0.76584,0.48755,1.28356,0.64239,1.56245,0.001783,0.001783,0.001783
85,25965.1,1.05673,0.67868,1.21991,0.83005,0.7284,0.76581,0.48757,1.28294,0.64155,1.56279,0.001684,0.001684,0.001684
86,26269.8,1.05773,0.68253,1.22584,0.83085,0.72892,0.76508,0.48817,1.28181,0.64011,1.56241,0.001585,0.001585,0.001585
87,26574.7,1.04775,0.67404,1.21629,0.8163,0.73384,0.76542,0.48891,1.28151,0.63957,1.56325,0.001486,0.001486,0.001486
88,26879.9,1.03554,0.66536,1.20775,0.81783,0.73272,0.76415,0.48992,1.28026,0.63994,1.56296,0.001387,0.001387,0.001387
89,27184.7,1.02001,0.65573,1.20574,0.8414,0.72457,0.76283,0.48903,1.28023,0.64072,1.56328,0.001288,0.001288,0.001288
90,27489.5,1.02584,0.65376,1.20175,0.84246,0.72571,0.7624,0.48941,1.27951,0.63954,1.56357,0.001189,0.001189,0.001189
91,27794.6,0.92746,0.48333,1.21796,0.84176,0.72435,0.76261,0.48962,1.27777,0.6381,1.56212,0.00109,0.00109,0.00109
92,28098.9,0.89643,0.4626,1.18901,0.83837,0.72519,0.7634,0.48941,1.27796,0.63703,1.56485,0.000991,0.000991,0.000991
93,28403.1,0.88345,0.45637,1.18509,0.83223,0.73003,0.76521,0.48989,1.27717,0.63702,1.56494,0.000892,0.000892,0.000892
94,28707.7,0.87274,0.44992,1.17474,0.83337,0.7288,0.76548,0.48961,1.27696,0.63643,1.56665,0.000793,0.000793,0.000793
95,29011.8,0.86149,0.44462,1.17242,0.83691,0.72623,0.76595,0.49026,1.27599,0.6366,1.56786,0.000694,0.000694,0.000694
96,29316.1,0.84909,0.43856,1.15352,0.84283,0.72532,0.76598,0.49032,1.27535,0.63655,1.56895,0.000595,0.000595,0.000595
97,29620.5,0.83145,0.4279,1.14571,0.84091,0.72522,0.7656,0.49078,1.27449,0.63646,1.57016,0.000496,0.000496,0.000496
98,29925.1,0.81876,0.42039,1.13628,0.83517,0.72817,0.76486,0.49125,1.27424,0.6358,1.57232,0.000397,0.000397,0.000397
99,30229.7,0.81195,0.41834,1.1333,0.83393,0.72975,0.76534,0.49181,1.27383,0.63656,1.5736,0.000298,0.000298,0.000298
100,30534.3,0.80114,0.40896,1.1249,0.83395,0.72864,0.76554,0.492,1.27277,0.63681,1.57359,0.000199,0.000199,0.000199
